
Job Info:
function_dim = 3
i = 2
I = 10
d = 8
K = 8
h = 1.0
tau = 0.001
it_max = 100000
tol = 1e-10
filename = Job_6

84 / 100000, order of error: 2.217
168 / 100000, order of error: 2.217
251 / 100000, order of error: 2.217
335 / 100000, order of error: 2.217
419 / 100000, order of error: 2.217
502 / 100000, order of error: 2.217
586 / 100000, order of error: 2.217
669 / 100000, order of error: 2.217
753 / 100000, order of error: 2.217
837 / 100000, order of error: 2.217
920 / 100000, order of error: 2.217
1004 / 100000, order of error: 2.217
1088 / 100000, order of error: 2.217
1171 / 100000, order of error: 2.217
1255 / 100000, order of error: 2.217
1338 / 100000, order of error: 2.217
1422 / 100000, order of error: 2.217
1506 / 100000, order of error: 2.217
1589 / 100000, order of error: 2.217
1673 / 100000, order of error: 2.217
1757 / 100000, order of error: 2.217
1840 / 100000, order of error: 2.217
1924 / 100000, order of error: 2.217
2007 / 100000, order of error: 2.217
2091 / 100000, order of error: 2.217
2175 / 100000, order of error: 2.217
2259 / 100000, order of error: 2.217
2342 / 100000, order of error: 2.217
2426 / 100000, order of error: 2.217
2510 / 100000, order of error: 2.217
2593 / 100000, order of error: 2.217
2677 / 100000, order of error: 2.217
2761 / 100000, order of error: 2.217
2845 / 100000, order of error: 2.217
2928 / 100000, order of error: 2.217
3012 / 100000, order of error: 2.217
3096 / 100000, order of error: 2.217
3179 / 100000, order of error: 2.217
3263 / 100000, order of error: 2.217
3347 / 100000, order of error: 2.217
3431 / 100000, order of error: 2.217
3514 / 100000, order of error: 2.217
3598 / 100000, order of error: 2.217
3682 / 100000, order of error: 2.217
3766 / 100000, order of error: 2.217
3849 / 100000, order of error: 2.217
3933 / 100000, order of error: 2.217
4017 / 100000, order of error: 2.217
4101 / 100000, order of error: 2.217
4184 / 100000, order of error: 2.217
4268 / 100000, order of error: 2.217
4352 / 100000, order of error: 2.217
4436 / 100000, order of error: 2.217
4519 / 100000, order of error: 2.217
4603 / 100000, order of error: 2.217
4687 / 100000, order of error: 2.217
4770 / 100000, order of error: 2.217
4854 / 100000, order of error: 2.217
4938 / 100000, order of error: 2.217
5021 / 100000, order of error: 2.217
5105 / 100000, order of error: 2.217
5188 / 100000, order of error: 2.217
5272 / 100000, order of error: 2.217
5355 / 100000, order of error: 2.217
5439 / 100000, order of error: 2.217
5523 / 100000, order of error: 2.217
5606 / 100000, order of error: 2.217
5690 / 100000, order of error: 2.217
5774 / 100000, order of error: 2.217
5857 / 100000, order of error: 2.217
5941 / 100000, order of error: 2.217
6025 / 100000, order of error: 2.217
6109 / 100000, order of error: 2.217
6192 / 100000, order of error: 2.217
6276 / 100000, order of error: 2.217
6360 / 100000, order of error: 2.217
6443 / 100000, order of error: 2.217
6527 / 100000, order of error: 2.217
6611 / 100000, order of error: 2.217
6694 / 100000, order of error: 2.217
6778 / 100000, order of error: 2.217
6862 / 100000, order of error: 2.217
6945 / 100000, order of error: 2.217
7029 / 100000, order of error: 2.217
7112 / 100000, order of error: 2.217
7196 / 100000, order of error: 2.217
7280 / 100000, order of error: 2.217
7363 / 100000, order of error: 2.217
7447 / 100000, order of error: 2.217
7530 / 100000, order of error: 2.217
7613 / 100000, order of error: 2.217
7697 / 100000, order of error: 2.217
7781 / 100000, order of error: 2.217
7864 / 100000, order of error: 2.217
7948 / 100000, order of error: 2.217
8031 / 100000, order of error: 2.217
8115 / 100000, order of error: 2.217
8199 / 100000, order of error: 2.217
8282 / 100000, order of error: 2.217
8366 / 100000, order of error: 2.217
8449 / 100000, order of error: 2.217
8533 / 100000, order of error: 2.217
8617 / 100000, order of error: 2.217
8700 / 100000, order of error: 2.217
8784 / 100000, order of error: 2.217
8868 / 100000, order of error: 2.217
8951 / 100000, order of error: 2.217
9035 / 100000, order of error: 2.217
9119 / 100000, order of error: 2.217
9203 / 100000, order of error: 2.217
9286 / 100000, order of error: 2.217
9370 / 100000, order of error: 2.217
9454 / 100000, order of error: 2.217
9537 / 100000, order of error: 2.217
9621 / 100000, order of error: 2.217
9705 / 100000, order of error: 2.217
9789 / 100000, order of error: 2.217
9872 / 100000, order of error: 2.217
9956 / 100000, order of error: 2.217
10040 / 100000, order of error: 2.217
