
Job Info:
function_dim = 3
i = 2
I = 10
d = 8
K = 4
h = 1.0
tau = 0.001
it_max = 100000
tol = 1e-10
filename = Job_5

207 / 100000, order of error: 2.211
414 / 100000, order of error: 1.780
623 / 100000, order of error: 2.114
835 / 100000, order of error: 0.964
1053 / 100000, order of error: 0.792
1272 / 100000, order of error: 0.798
1491 / 100000, order of error: 0.784
1710 / 100000, order of error: 0.771
1928 / 100000, order of error: 0.761
2146 / 100000, order of error: 0.746
2364 / 100000, order of error: 0.731
2582 / 100000, order of error: 0.721
2799 / 100000, order of error: 0.716
3015 / 100000, order of error: 0.714
3232 / 100000, order of error: 0.710
3448 / 100000, order of error: 0.705
3664 / 100000, order of error: 0.699
3880 / 100000, order of error: 0.694
4096 / 100000, order of error: 0.687
4312 / 100000, order of error: 0.676
4527 / 100000, order of error: 0.663
4742 / 100000, order of error: 0.630
4957 / 100000, order of error: 0.609
5173 / 100000, order of error: 0.552
5389 / 100000, order of error: 0.467
5605 / 100000, order of error: 0.284
5821 / 100000, order of error: 0.311
6037 / 100000, order of error: 0.228
6254 / 100000, order of error: 0.301
6470 / 100000, order of error: 0.294
6687 / 100000, order of error: 0.138
6904 / 100000, order of error: 0.069
7121 / 100000, order of error: -0.022
7337 / 100000, order of error: -0.070
7554 / 100000, order of error: -0.092
7770 / 100000, order of error: -0.119
7987 / 100000, order of error: -0.150
8204 / 100000, order of error: -0.153
8420 / 100000, order of error: -0.165
8637 / 100000, order of error: -0.185
8854 / 100000, order of error: -0.183
9071 / 100000, order of error: -0.203
9288 / 100000, order of error: -0.200
9504 / 100000, order of error: -0.208
9721 / 100000, order of error: -0.227
9938 / 100000, order of error: -0.223
10155 / 100000, order of error: -0.242
10372 / 100000, order of error: -0.237
10589 / 100000, order of error: -0.256
10805 / 100000, order of error: -0.262
11022 / 100000, order of error: -0.256
11239 / 100000, order of error: -0.275
11456 / 100000, order of error: -0.268
11674 / 100000, order of error: -0.274
11890 / 100000, order of error: -0.280
12107 / 100000, order of error: -0.298
12324 / 100000, order of error: -0.291
12541 / 100000, order of error: -0.310
12758 / 100000, order of error: -0.302
12975 / 100000, order of error: -0.321
13192 / 100000, order of error: -0.314
13409 / 100000, order of error: -0.332
13626 / 100000, order of error: -0.325
13843 / 100000, order of error: -0.344
14060 / 100000, order of error: -0.337
14277 / 100000, order of error: -0.355
14494 / 100000, order of error: -0.348
14711 / 100000, order of error: -0.367
14928 / 100000, order of error: -0.360
15146 / 100000, order of error: -0.366
15363 / 100000, order of error: -0.386
15580 / 100000, order of error: -0.379
15798 / 100000, order of error: -0.385
16015 / 100000, order of error: -0.405
16232 / 100000, order of error: -0.399
16450 / 100000, order of error: -0.405
16667 / 100000, order of error: -0.425
16885 / 100000, order of error: -0.432
17102 / 100000, order of error: -0.427
17320 / 100000, order of error: -0.434
17537 / 100000, order of error: -0.454
17755 / 100000, order of error: -0.462
17972 / 100000, order of error: -0.457
18189 / 100000, order of error: -0.477
18407 / 100000, order of error: -0.486
18624 / 100000, order of error: -0.482
18842 / 100000, order of error: -0.491
19059 / 100000, order of error: -0.512
19277 / 100000, order of error: -0.522
19494 / 100000, order of error: -0.521
19711 / 100000, order of error: -0.543
19929 / 100000, order of error: -0.555
20146 / 100000, order of error: -0.558
20364 / 100000, order of error: -0.572
20582 / 100000, order of error: -0.587
20799 / 100000, order of error: -0.610
21017 / 100000, order of error: -0.625
21235 / 100000, order of error: -0.640
21453 / 100000, order of error: -0.655
21671 / 100000, order of error: -0.671
21889 / 100000, order of error: -0.695
22107 / 100000, order of error: -0.732
22325 / 100000, order of error: -0.467
22543 / 100000, order of error: -0.718
