
Job Info:
function_dim = 3
i = 2
I = 10
d = 16
K = 4
h = 1.0
tau = 0.001
it_max = 100000
tol = 1e-10
filename = Job_8

86 / 100000, order of error: 2.217
172 / 100000, order of error: 2.217
257 / 100000, order of error: 2.217
343 / 100000, order of error: 2.217
429 / 100000, order of error: 2.217
514 / 100000, order of error: 2.217
600 / 100000, order of error: 2.217
686 / 100000, order of error: 2.217
772 / 100000, order of error: 2.217
857 / 100000, order of error: 2.217
943 / 100000, order of error: 2.217
1029 / 100000, order of error: 2.217
1114 / 100000, order of error: 2.217
1200 / 100000, order of error: 2.217
1285 / 100000, order of error: 2.217
1371 / 100000, order of error: 2.217
1457 / 100000, order of error: 2.217
1542 / 100000, order of error: 2.217
1628 / 100000, order of error: 2.217
1714 / 100000, order of error: 2.217
1799 / 100000, order of error: 2.217
1885 / 100000, order of error: 2.217
1970 / 100000, order of error: 2.217
2056 / 100000, order of error: 2.217
2142 / 100000, order of error: 2.217
2227 / 100000, order of error: 2.217
2313 / 100000, order of error: 2.217
2398 / 100000, order of error: 2.217
2484 / 100000, order of error: 2.217
2569 / 100000, order of error: 2.217
2655 / 100000, order of error: 2.217
2741 / 100000, order of error: 2.217
2826 / 100000, order of error: 2.217
2912 / 100000, order of error: 2.217
2998 / 100000, order of error: 2.217
3083 / 100000, order of error: 2.217
3169 / 100000, order of error: 2.217
3255 / 100000, order of error: 2.217
3340 / 100000, order of error: 2.217
3426 / 100000, order of error: 2.217
3512 / 100000, order of error: 2.217
3597 / 100000, order of error: 2.217
3683 / 100000, order of error: 2.217
3769 / 100000, order of error: 2.217
3854 / 100000, order of error: 2.217
3940 / 100000, order of error: 2.217
4025 / 100000, order of error: 2.217
4111 / 100000, order of error: 2.217
4196 / 100000, order of error: 2.217
4282 / 100000, order of error: 2.217
4368 / 100000, order of error: 2.217
4453 / 100000, order of error: 2.217
4539 / 100000, order of error: 2.217
4625 / 100000, order of error: 2.217
4711 / 100000, order of error: 2.217
4796 / 100000, order of error: 2.217
4882 / 100000, order of error: 2.217
4968 / 100000, order of error: 2.217
5053 / 100000, order of error: 2.217
5139 / 100000, order of error: 2.217
5225 / 100000, order of error: 2.217
5310 / 100000, order of error: 2.217
5396 / 100000, order of error: 2.217
5482 / 100000, order of error: 2.217
5567 / 100000, order of error: 2.217
5653 / 100000, order of error: 2.217
5739 / 100000, order of error: 2.217
5824 / 100000, order of error: 2.217
5910 / 100000, order of error: 2.217
5996 / 100000, order of error: 2.217
6081 / 100000, order of error: 2.217
6167 / 100000, order of error: 2.217
6253 / 100000, order of error: 2.217
6339 / 100000, order of error: 2.217
6424 / 100000, order of error: 2.217
6510 / 100000, order of error: 2.217
6596 / 100000, order of error: 2.217
6681 / 100000, order of error: 2.217
6767 / 100000, order of error: 2.217
6853 / 100000, order of error: 2.217
6939 / 100000, order of error: 2.217
7024 / 100000, order of error: 2.217
7110 / 100000, order of error: 2.217
7196 / 100000, order of error: 2.217
7282 / 100000, order of error: 2.217
7367 / 100000, order of error: 2.217
7453 / 100000, order of error: 2.217
7539 / 100000, order of error: 2.217
7625 / 100000, order of error: 2.217
7710 / 100000, order of error: 2.217
7796 / 100000, order of error: 2.217
7881 / 100000, order of error: 2.217
7967 / 100000, order of error: 2.217
8052 / 100000, order of error: 2.217
8138 / 100000, order of error: 2.217
8224 / 100000, order of error: 2.217
8309 / 100000, order of error: 2.217
8395 / 100000, order of error: 2.217
8481 / 100000, order of error: 2.217
8566 / 100000, order of error: 2.217
8652 / 100000, order of error: 2.217
8738 / 100000, order of error: 2.217
8823 / 100000, order of error: 2.217
8909 / 100000, order of error: 2.217
8995 / 100000, order of error: 2.217
9080 / 100000, order of error: 2.217
9166 / 100000, order of error: 2.217
9252 / 100000, order of error: 2.217
9337 / 100000, order of error: 2.217
9423 / 100000, order of error: 2.217
9509 / 100000, order of error: 2.217
9594 / 100000, order of error: 2.217
9680 / 100000, order of error: 2.217
9766 / 100000, order of error: 2.217
9851 / 100000, order of error: 2.217
9937 / 100000, order of error: 2.217
10023 / 100000, order of error: 2.217
10109 / 100000, order of error: 2.217
10194 / 100000, order of error: 2.217
10280 / 100000, order of error: 2.217
10366 / 100000, order of error: 2.217
10452 / 100000, order of error: 2.217
10537 / 100000, order of error: 2.217
10623 / 100000, order of error: 2.217
10709 / 100000, order of error: 2.217
10795 / 100000, order of error: 2.217
10880 / 100000, order of error: 2.217
10966 / 100000, order of error: 2.217
11052 / 100000, order of error: 2.217
11138 / 100000, order of error: 2.217
11224 / 100000, order of error: 2.217
11310 / 100000, order of error: 2.217
11395 / 100000, order of error: 2.217
11481 / 100000, order of error: 2.217
11567 / 100000, order of error: 2.217
11653 / 100000, order of error: 2.217
11739 / 100000, order of error: 2.217
11825 / 100000, order of error: 2.217
11911 / 100000, order of error: 2.217
11997 / 100000, order of error: 2.217
12083 / 100000, order of error: 2.217
