
Job Info:
function_dim = 2
i = 0
I = 50
d = 4
K = 4
h = 1.0
tau = 0.001
it_max = 100000
tol = 1e-10
filename = Job_3

191 / 100000, order of error: 2.360
389 / 100000, order of error: 1.339
600 / 100000, order of error: 1.311
816 / 100000, order of error: 1.211
1033 / 100000, order of error: 0.993
1248 / 100000, order of error: 0.388
1460 / 100000, order of error: 0.047
1672 / 100000, order of error: 0.360
1884 / 100000, order of error: 0.140
2095 / 100000, order of error: 0.093
2307 / 100000, order of error: 0.072
2518 / 100000, order of error: 0.070
2730 / 100000, order of error: 0.051
2941 / 100000, order of error: 0.016
3152 / 100000, order of error: 0.014
3363 / 100000, order of error: -0.018
3575 / 100000, order of error: -0.034
3786 / 100000, order of error: -0.038
3997 / 100000, order of error: -0.065
4207 / 100000, order of error: -0.080
4418 / 100000, order of error: -0.088
4629 / 100000, order of error: -0.111
4839 / 100000, order of error: -0.127
5050 / 100000, order of error: -0.139
5260 / 100000, order of error: -0.156
5471 / 100000, order of error: -0.177
5681 / 100000, order of error: -0.196
5891 / 100000, order of error: -0.214
6100 / 100000, order of error: -0.233
6310 / 100000, order of error: -0.253
6519 / 100000, order of error: -0.271
6729 / 100000, order of error: -0.290
6938 / 100000, order of error: -0.310
7147 / 100000, order of error: -0.325
7362 / 100000, order of error: -0.345
7589 / 100000, order of error: -0.359
7821 / 100000, order of error: -0.376
8063 / 100000, order of error: -0.393
8305 / 100000, order of error: -0.409
8548 / 100000, order of error: -0.429
8790 / 100000, order of error: -0.445
9033 / 100000, order of error: -0.458
9276 / 100000, order of error: -0.476
9518 / 100000, order of error: -0.491
9761 / 100000, order of error: -0.503
10003 / 100000, order of error: -0.518
10257 / 100000, order of error: -0.532
10510 / 100000, order of error: -0.549
10763 / 100000, order of error: -0.560
11016 / 100000, order of error: -0.575
11270 / 100000, order of error: -0.588
11523 / 100000, order of error: -0.599
11777 / 100000, order of error: -0.611
12030 / 100000, order of error: -0.625
12284 / 100000, order of error: -0.636
12538 / 100000, order of error: -0.648
12792 / 100000, order of error: -0.659
13046 / 100000, order of error: -0.671
13299 / 100000, order of error: -0.681
13553 / 100000, order of error: -0.692
13807 / 100000, order of error: -0.703
14062 / 100000, order of error: -0.715
14316 / 100000, order of error: -0.726
14570 / 100000, order of error: -0.737
14825 / 100000, order of error: -0.746
15078 / 100000, order of error: -0.758
15332 / 100000, order of error: -0.768
15586 / 100000, order of error: -0.778
15841 / 100000, order of error: -0.787
16096 / 100000, order of error: -0.798
16343 / 100000, order of error: -0.806
16586 / 100000, order of error: -0.816
16841 / 100000, order of error: -0.825
17097 / 100000, order of error: -0.834
17352 / 100000, order of error: -0.844
17608 / 100000, order of error: -0.854
17863 / 100000, order of error: -0.862
18117 / 100000, order of error: -0.870
18372 / 100000, order of error: -0.880
18628 / 100000, order of error: -0.889
18883 / 100000, order of error: -0.897
19138 / 100000, order of error: -0.906
19394 / 100000, order of error: -0.915
19650 / 100000, order of error: -0.923
19906 / 100000, order of error: -0.932
20161 / 100000, order of error: -0.939
20417 / 100000, order of error: -0.947
20672 / 100000, order of error: -0.957
20928 / 100000, order of error: -0.965
21183 / 100000, order of error: -0.972
21438 / 100000, order of error: -0.981
21694 / 100000, order of error: -0.989
21949 / 100000, order of error: -0.995
22203 / 100000, order of error: -1.003
22464 / 100000, order of error: -1.012
22727 / 100000, order of error: -1.019
22990 / 100000, order of error: -1.028
23253 / 100000, order of error: -1.034
23517 / 100000, order of error: -1.042
23781 / 100000, order of error: -1.049
24045 / 100000, order of error: -1.056
24309 / 100000, order of error: -1.064
24573 / 100000, order of error: -1.071
24837 / 100000, order of error: -1.078
25101 / 100000, order of error: -1.084
25365 / 100000, order of error: -1.091
25628 / 100000, order of error: -1.099
25892 / 100000, order of error: -1.105
26155 / 100000, order of error: -1.110
26419 / 100000, order of error: -1.116
26683 / 100000, order of error: -1.122
26947 / 100000, order of error: -1.128
27210 / 100000, order of error: -1.134
27474 / 100000, order of error: -1.140
27738 / 100000, order of error: -1.145
28001 / 100000, order of error: -1.149
28265 / 100000, order of error: -1.154
28529 / 100000, order of error: -1.158
28793 / 100000, order of error: -1.163
29057 / 100000, order of error: -1.167
29320 / 100000, order of error: -1.173
29584 / 100000, order of error: -1.177
29848 / 100000, order of error: -1.180
30112 / 100000, order of error: -1.184
30375 / 100000, order of error: -1.187
30639 / 100000, order of error: -1.190
30903 / 100000, order of error: -1.194
31166 / 100000, order of error: -1.198
31430 / 100000, order of error: -1.201
31694 / 100000, order of error: -1.204
31957 / 100000, order of error: -1.206
32221 / 100000, order of error: -1.209
32485 / 100000, order of error: -1.212
32748 / 100000, order of error: -1.215
33012 / 100000, order of error: -1.218
33276 / 100000, order of error: -1.220
33539 / 100000, order of error: -1.222
33803 / 100000, order of error: -1.224
34066 / 100000, order of error: -1.227
34330 / 100000, order of error: -1.229
34594 / 100000, order of error: -1.231
34857 / 100000, order of error: -1.233
35121 / 100000, order of error: -1.235
35384 / 100000, order of error: -1.237
35648 / 100000, order of error: -1.239
35911 / 100000, order of error: -1.241
36175 / 100000, order of error: -1.242
36439 / 100000, order of error: -1.244
36702 / 100000, order of error: -1.247
36966 / 100000, order of error: -1.249
37229 / 100000, order of error: -1.250
37493 / 100000, order of error: -1.251
37756 / 100000, order of error: -1.254
38020 / 100000, order of error: -1.255
38283 / 100000, order of error: -1.257
38546 / 100000, order of error: -1.259
38809 / 100000, order of error: -1.260
39072 / 100000, order of error: -1.262
39336 / 100000, order of error: -1.264
39599 / 100000, order of error: -1.265
39863 / 100000, order of error: -1.267
40126 / 100000, order of error: -1.269
40389 / 100000, order of error: -1.270
40653 / 100000, order of error: -1.272
40916 / 100000, order of error: -1.273
41180 / 100000, order of error: -1.275
41443 / 100000, order of error: -1.276
41707 / 100000, order of error: -1.278
41970 / 100000, order of error: -1.280
42234 / 100000, order of error: -1.281
42497 / 100000, order of error: -1.283
42761 / 100000, order of error: -1.285
43024 / 100000, order of error: -1.286
43287 / 100000, order of error: -1.288
43551 / 100000, order of error: -1.289
43814 / 100000, order of error: -1.291
44077 / 100000, order of error: -1.293
44341 / 100000, order of error: -1.294
44604 / 100000, order of error: -1.296
44868 / 100000, order of error: -1.297
45131 / 100000, order of error: -1.299
45395 / 100000, order of error: -1.301
45660 / 100000, order of error: -1.302
45924 / 100000, order of error: -1.304
46188 / 100000, order of error: -1.306
46452 / 100000, order of error: -1.307
46717 / 100000, order of error: -1.309
46981 / 100000, order of error: -1.310
47246 / 100000, order of error: -1.312
47510 / 100000, order of error: -1.314
47775 / 100000, order of error: -1.315
48039 / 100000, order of error: -1.317
48303 / 100000, order of error: -1.319
48568 / 100000, order of error: -1.320
48832 / 100000, order of error: -1.322
49096 / 100000, order of error: -1.323
49360 / 100000, order of error: -1.325
49625 / 100000, order of error: -1.327
49889 / 100000, order of error: -1.329
50153 / 100000, order of error: -1.330
50418 / 100000, order of error: -1.332
50682 / 100000, order of error: -1.333
50946 / 100000, order of error: -1.335
51209 / 100000, order of error: -1.337
51473 / 100000, order of error: -1.338
51736 / 100000, order of error: -1.340
52000 / 100000, order of error: -1.341
52264 / 100000, order of error: -1.343
52527 / 100000, order of error: -1.345
52791 / 100000, order of error: -1.347
53054 / 100000, order of error: -1.348
53317 / 100000, order of error: -1.350
53580 / 100000, order of error: -1.351
53844 / 100000, order of error: -1.353
54107 / 100000, order of error: -1.355
54370 / 100000, order of error: -1.356
54629 / 100000, order of error: -1.358
54874 / 100000, order of error: -1.359
55118 / 100000, order of error: -1.361
55366 / 100000, order of error: -1.362
55625 / 100000, order of error: -1.364
55889 / 100000, order of error: -1.366
56152 / 100000, order of error: -1.367
56415 / 100000, order of error: -1.369
56679 / 100000, order of error: -1.371
56942 / 100000, order of error: -1.372
57205 / 100000, order of error: -1.374
57469 / 100000, order of error: -1.376
57732 / 100000, order of error: -1.377
57995 / 100000, order of error: -1.379
58259 / 100000, order of error: -1.380
58522 / 100000, order of error: -1.381
58785 / 100000, order of error: -1.384
59049 / 100000, order of error: -1.385
59312 / 100000, order of error: -1.386
59575 / 100000, order of error: -1.388
59839 / 100000, order of error: -1.390
60102 / 100000, order of error: -1.391
60365 / 100000, order of error: -1.393
60628 / 100000, order of error: -1.394
60892 / 100000, order of error: -1.395
61155 / 100000, order of error: -1.398
61419 / 100000, order of error: -1.399
61682 / 100000, order of error: -1.400
61945 / 100000, order of error: -1.402
62208 / 100000, order of error: -1.403
62471 / 100000, order of error: -1.405
62735 / 100000, order of error: -1.407
62997 / 100000, order of error: -1.408
63261 / 100000, order of error: -1.410
63524 / 100000, order of error: -1.411
63787 / 100000, order of error: -1.413
64050 / 100000, order of error: -1.414
64314 / 100000, order of error: -1.415
64577 / 100000, order of error: -1.417
64840 / 100000, order of error: -1.418
65104 / 100000, order of error: -1.420
65367 / 100000, order of error: -1.422
65630 / 100000, order of error: -1.423
65893 / 100000, order of error: -1.425
66157 / 100000, order of error: -1.426
66420 / 100000, order of error: -1.427
66683 / 100000, order of error: -1.429
66947 / 100000, order of error: -1.431
67210 / 100000, order of error: -1.431
67473 / 100000, order of error: -1.434
67737 / 100000, order of error: -1.435
68000 / 100000, order of error: -1.436
68263 / 100000, order of error: -1.438
68526 / 100000, order of error: -1.439
68790 / 100000, order of error: -1.440
69053 / 100000, order of error: -1.442
69316 / 100000, order of error: -1.443
69580 / 100000, order of error: -1.444
69843 / 100000, order of error: -1.446
70106 / 100000, order of error: -1.447
70369 / 100000, order of error: -1.449
70633 / 100000, order of error: -1.450
70896 / 100000, order of error: -1.451
71159 / 100000, order of error: -1.453
71422 / 100000, order of error: -1.454
71685 / 100000, order of error: -1.456
71949 / 100000, order of error: -1.457
72212 / 100000, order of error: -1.458
72475 / 100000, order of error: -1.460
72739 / 100000, order of error: -1.461
73002 / 100000, order of error: -1.462
73265 / 100000, order of error: -1.464
73528 / 100000, order of error: -1.465
73791 / 100000, order of error: -1.466
74055 / 100000, order of error: -1.468
74318 / 100000, order of error: -1.468
74581 / 100000, order of error: -1.470
74845 / 100000, order of error: -1.472
75107 / 100000, order of error: -1.473
75371 / 100000, order of error: -1.474
75634 / 100000, order of error: -1.475
75897 / 100000, order of error: -1.477
76160 / 100000, order of error: -1.477
76423 / 100000, order of error: -1.479
76686 / 100000, order of error: -1.480
76950 / 100000, order of error: -1.481
77213 / 100000, order of error: -1.483
77476 / 100000, order of error: -1.483
77739 / 100000, order of error: -1.485
78003 / 100000, order of error: -1.486
78266 / 100000, order of error: -1.487
78529 / 100000, order of error: -1.489
78792 / 100000, order of error: -1.489
79055 / 100000, order of error: -1.491
79315 / 100000, order of error: -1.492
79578 / 100000, order of error: -1.493
79841 / 100000, order of error: -1.495
80105 / 100000, order of error: -1.496
80368 / 100000, order of error: -1.496
80631 / 100000, order of error: -1.498
80894 / 100000, order of error: -1.499
81158 / 100000, order of error: -1.500
81421 / 100000, order of error: -1.501
81684 / 100000, order of error: -1.502
81947 / 100000, order of error: -1.504
82210 / 100000, order of error: -1.504
82473 / 100000, order of error: -1.506
82737 / 100000, order of error: -1.507
83000 / 100000, order of error: -1.508
83263 / 100000, order of error: -1.509
83526 / 100000, order of error: -1.510
83789 / 100000, order of error: -1.511
84053 / 100000, order of error: -1.512
84316 / 100000, order of error: -1.513
84579 / 100000, order of error: -1.514
84839 / 100000, order of error: -1.515
85102 / 100000, order of error: -1.516
85365 / 100000, order of error: -1.517
85629 / 100000, order of error: -1.518
85892 / 100000, order of error: -1.519
86155 / 100000, order of error: -1.520
86407 / 100000, order of error: -1.521
86667 / 100000, order of error: -1.522
86930 / 100000, order of error: -1.523
87193 / 100000, order of error: -1.524
87456 / 100000, order of error: -1.525
87719 / 100000, order of error: -1.526
87982 / 100000, order of error: -1.527
88246 / 100000, order of error: -1.528
88509 / 100000, order of error: -1.529
88772 / 100000, order of error: -1.530
89035 / 100000, order of error: -1.531
89298 / 100000, order of error: -1.532
89561 / 100000, order of error: -1.533
89824 / 100000, order of error: -1.534
90088 / 100000, order of error: -1.535
90351 / 100000, order of error: -1.536
90614 / 100000, order of error: -1.536
90877 / 100000, order of error: -1.538
91140 / 100000, order of error: -1.538
91403 / 100000, order of error: -1.539
91666 / 100000, order of error: -1.540
91929 / 100000, order of error: -1.541
92192 / 100000, order of error: -1.542
92455 / 100000, order of error: -1.543
92718 / 100000, order of error: -1.543
92981 / 100000, order of error: -1.545
93244 / 100000, order of error: -1.545
93507 / 100000, order of error: -1.546
93770 / 100000, order of error: -1.547
94033 / 100000, order of error: -1.548
94296 / 100000, order of error: -1.549
94559 / 100000, order of error: -1.550
94822 / 100000, order of error: -1.550
95084 / 100000, order of error: -1.551
95347 / 100000, order of error: -1.552
95610 / 100000, order of error: -1.553
95873 / 100000, order of error: -1.554
96136 / 100000, order of error: -1.554
96399 / 100000, order of error: -1.555
96662 / 100000, order of error: -1.556
96925 / 100000, order of error: -1.557
97187 / 100000, order of error: -1.557
97450 / 100000, order of error: -1.558
97713 / 100000, order of error: -1.559
97976 / 100000, order of error: -1.560
98239 / 100000, order of error: -1.561
98502 / 100000, order of error: -1.561
98765 / 100000, order of error: -1.562
99027 / 100000, order of error: -1.563
99290 / 100000, order of error: -1.563
99553 / 100000, order of error: -1.564
99817 / 100000, order of error: -1.565
took 389.70 seconds to train
J = 0.027216357386940948
function error: 0.016100979399013487
gradient error: 1.9764604092262261
