
Job Info:
function_dim = 3
i = 2
I = 10
d = 16
K = 2
h = 1.0
tau = 0.001
it_max = 100000
tol = 1e-10
filename = Job_7

248 / 100000, order of error: 2.217
496 / 100000, order of error: 2.217
744 / 100000, order of error: 2.217
992 / 100000, order of error: 2.217
1240 / 100000, order of error: 2.217
1488 / 100000, order of error: 2.217
1736 / 100000, order of error: 2.217
1984 / 100000, order of error: 2.217
2233 / 100000, order of error: 2.217
2481 / 100000, order of error: 2.217
2729 / 100000, order of error: 2.217
2977 / 100000, order of error: 2.217
3226 / 100000, order of error: 2.217
3474 / 100000, order of error: 2.217
3722 / 100000, order of error: 2.217
3969 / 100000, order of error: 2.217
4217 / 100000, order of error: 2.217
4465 / 100000, order of error: 2.217
4713 / 100000, order of error: 2.217
4961 / 100000, order of error: 2.217
5209 / 100000, order of error: 2.217
5457 / 100000, order of error: 2.217
5705 / 100000, order of error: 2.217
5953 / 100000, order of error: 2.217
6202 / 100000, order of error: 2.217
6450 / 100000, order of error: 2.217
6698 / 100000, order of error: 2.217
6946 / 100000, order of error: 2.217
7194 / 100000, order of error: 2.217
7441 / 100000, order of error: 2.217
7689 / 100000, order of error: 2.217
7937 / 100000, order of error: 2.217
8185 / 100000, order of error: 2.217
8433 / 100000, order of error: 2.217
8682 / 100000, order of error: 2.217
8930 / 100000, order of error: 2.217
9179 / 100000, order of error: 2.217
9428 / 100000, order of error: 2.217
9676 / 100000, order of error: 2.217
9924 / 100000, order of error: 2.217
10172 / 100000, order of error: 2.217
10420 / 100000, order of error: 2.217
10668 / 100000, order of error: 2.217
10916 / 100000, order of error: 2.217
11165 / 100000, order of error: 2.217
11413 / 100000, order of error: 2.217
11662 / 100000, order of error: 2.217
11910 / 100000, order of error: 2.217
12159 / 100000, order of error: 2.217
12407 / 100000, order of error: 2.217
12655 / 100000, order of error: 2.217
12903 / 100000, order of error: 2.217
13152 / 100000, order of error: 2.217
13400 / 100000, order of error: 2.217
13648 / 100000, order of error: 2.217
13896 / 100000, order of error: 2.217
14145 / 100000, order of error: 2.217
14393 / 100000, order of error: 2.217
14642 / 100000, order of error: 2.217
14890 / 100000, order of error: 2.217
15139 / 100000, order of error: 2.217
15387 / 100000, order of error: 2.217
15636 / 100000, order of error: 2.217
15884 / 100000, order of error: 2.217
16133 / 100000, order of error: 2.217
16382 / 100000, order of error: 2.217
16631 / 100000, order of error: 2.217
16879 / 100000, order of error: 2.217
17128 / 100000, order of error: 2.217
17376 / 100000, order of error: 2.217
17625 / 100000, order of error: 2.217
17874 / 100000, order of error: 2.217
18123 / 100000, order of error: 2.217
18372 / 100000, order of error: 2.217
18620 / 100000, order of error: 2.217
18869 / 100000, order of error: 2.217
19118 / 100000, order of error: 2.217
19366 / 100000, order of error: 2.217
19615 / 100000, order of error: 2.217
19864 / 100000, order of error: 2.217
20113 / 100000, order of error: 2.217
20362 / 100000, order of error: 2.217
20611 / 100000, order of error: 2.217
20860 / 100000, order of error: 2.217
21109 / 100000, order of error: 2.217
21358 / 100000, order of error: 2.217
21606 / 100000, order of error: 2.217
21855 / 100000, order of error: 2.217
22104 / 100000, order of error: 2.217
22353 / 100000, order of error: 2.217
22600 / 100000, order of error: 2.217
22849 / 100000, order of error: 2.217
23098 / 100000, order of error: 2.217
23347 / 100000, order of error: 2.217
23596 / 100000, order of error: 2.217
23845 / 100000, order of error: 2.217
24093 / 100000, order of error: 2.217
24342 / 100000, order of error: 2.217
24591 / 100000, order of error: 2.217
24840 / 100000, order of error: 2.217
25089 / 100000, order of error: 2.217
25337 / 100000, order of error: 2.217
25585 / 100000, order of error: 2.217
25834 / 100000, order of error: 2.217
26082 / 100000, order of error: 2.217
26330 / 100000, order of error: 2.217
26578 / 100000, order of error: 2.217
26827 / 100000, order of error: 2.217
27075 / 100000, order of error: 2.217
27324 / 100000, order of error: 2.217
27572 / 100000, order of error: 2.217
27821 / 100000, order of error: 2.217
28069 / 100000, order of error: 2.217
28318 / 100000, order of error: 2.217
28567 / 100000, order of error: 2.217
28816 / 100000, order of error: 2.217
29065 / 100000, order of error: 2.217
29314 / 100000, order of error: 2.217
29562 / 100000, order of error: 2.217
29811 / 100000, order of error: 2.217
30060 / 100000, order of error: 2.217
30309 / 100000, order of error: 2.217
30558 / 100000, order of error: 2.217
30807 / 100000, order of error: 2.217
31056 / 100000, order of error: 2.217
31305 / 100000, order of error: 2.217
31554 / 100000, order of error: 2.217
31803 / 100000, order of error: 2.217
32052 / 100000, order of error: 2.217
32301 / 100000, order of error: 2.217
32551 / 100000, order of error: 2.217
32800 / 100000, order of error: 2.217
33049 / 100000, order of error: 2.217
33298 / 100000, order of error: 2.217
33547 / 100000, order of error: 2.217
33796 / 100000, order of error: 2.217
34045 / 100000, order of error: 2.217
34295 / 100000, order of error: 2.217
34544 / 100000, order of error: 2.217
34793 / 100000, order of error: 2.217
35043 / 100000, order of error: 2.217
