
Job Info:
function_dim = 3
i = 2
I = 10
d = 4
K = 8
h = 1.0
tau = 0.001
it_max = 100000
tol = 1e-10
filename = Job_3

178 / 100000, order of error: 2.217
356 / 100000, order of error: 2.217
533 / 100000, order of error: 2.217
711 / 100000, order of error: 2.217
889 / 100000, order of error: 2.217
1067 / 100000, order of error: 2.217
1244 / 100000, order of error: 2.217
1422 / 100000, order of error: 2.217
1600 / 100000, order of error: 2.217
1778 / 100000, order of error: 2.217
1956 / 100000, order of error: 2.217
2134 / 100000, order of error: 2.217
2312 / 100000, order of error: 2.217
2490 / 100000, order of error: 2.217
2668 / 100000, order of error: 2.217
2845 / 100000, order of error: 2.217
3023 / 100000, order of error: 2.217
3201 / 100000, order of error: 2.217
3378 / 100000, order of error: 2.217
3556 / 100000, order of error: 2.217
3733 / 100000, order of error: 2.217
3911 / 100000, order of error: 2.217
4088 / 100000, order of error: 2.217
4265 / 100000, order of error: 2.217
4443 / 100000, order of error: 2.217
4620 / 100000, order of error: 2.217
4798 / 100000, order of error: 2.217
4975 / 100000, order of error: 2.217
5152 / 100000, order of error: 2.217
5330 / 100000, order of error: 2.217
5507 / 100000, order of error: 2.217
5685 / 100000, order of error: 2.217
5863 / 100000, order of error: 2.217
6041 / 100000, order of error: 2.217
6218 / 100000, order of error: 2.217
6396 / 100000, order of error: 2.217
6570 / 100000, order of error: 2.217
6747 / 100000, order of error: 2.217
6925 / 100000, order of error: 2.217
7103 / 100000, order of error: 2.217
7281 / 100000, order of error: 2.217
7459 / 100000, order of error: 2.217
7636 / 100000, order of error: 2.217
7814 / 100000, order of error: 2.217
7992 / 100000, order of error: 2.217
8169 / 100000, order of error: 2.217
8347 / 100000, order of error: 2.217
8525 / 100000, order of error: 2.217
8702 / 100000, order of error: 2.217
8880 / 100000, order of error: 2.217
9058 / 100000, order of error: 2.217
9235 / 100000, order of error: 2.217
9413 / 100000, order of error: 2.217
9590 / 100000, order of error: 2.217
9768 / 100000, order of error: 2.217
9946 / 100000, order of error: 2.217
10125 / 100000, order of error: 2.217
10303 / 100000, order of error: 2.217
10481 / 100000, order of error: 2.217
10659 / 100000, order of error: 2.217
10837 / 100000, order of error: 2.217
11015 / 100000, order of error: 2.217
11192 / 100000, order of error: 2.217
11370 / 100000, order of error: 2.217
11547 / 100000, order of error: 2.217
11725 / 100000, order of error: 2.217
11902 / 100000, order of error: 2.217
12080 / 100000, order of error: 2.217
12257 / 100000, order of error: 2.217
12435 / 100000, order of error: 2.217
12613 / 100000, order of error: 2.217
12790 / 100000, order of error: 2.217
12968 / 100000, order of error: 2.217
13146 / 100000, order of error: 2.217
13324 / 100000, order of error: 2.217
13501 / 100000, order of error: 2.217
13679 / 100000, order of error: 2.217
13857 / 100000, order of error: 2.217
14035 / 100000, order of error: 2.217
14213 / 100000, order of error: 2.217
14390 / 100000, order of error: 2.217
14568 / 100000, order of error: 2.217
14746 / 100000, order of error: 2.217
14924 / 100000, order of error: 2.217
15102 / 100000, order of error: 2.217
15280 / 100000, order of error: 2.217
15458 / 100000, order of error: 2.217
15636 / 100000, order of error: 2.217
15814 / 100000, order of error: 2.217
15991 / 100000, order of error: 2.217
16168 / 100000, order of error: 2.217
16346 / 100000, order of error: 2.217
