
Job Info:
function_dim = 3
i = 2
I = 10
d = 4
K = 4
h = 1.0
tau = 0.001
it_max = 100000
tol = 1e-10
filename = Job_2

437 / 100000, order of error: 2.217
874 / 100000, order of error: 2.217
1310 / 100000, order of error: 2.216
1749 / 100000, order of error: 1.730
2199 / 100000, order of error: 0.898
2652 / 100000, order of error: 0.892
3106 / 100000, order of error: 0.885
3563 / 100000, order of error: 0.866
4020 / 100000, order of error: 0.833
4476 / 100000, order of error: 0.780
4933 / 100000, order of error: 0.806
5391 / 100000, order of error: 0.725
5849 / 100000, order of error: 0.712
6308 / 100000, order of error: 0.699
6765 / 100000, order of error: 0.666
7223 / 100000, order of error: 0.586
7683 / 100000, order of error: 0.531
8145 / 100000, order of error: 0.557
8609 / 100000, order of error: 0.547
9072 / 100000, order of error: 0.533
9536 / 100000, order of error: 0.521
10001 / 100000, order of error: 0.514
10465 / 100000, order of error: 0.506
10930 / 100000, order of error: 0.497
11392 / 100000, order of error: 0.489
11854 / 100000, order of error: 0.482
12315 / 100000, order of error: 0.480
12776 / 100000, order of error: 0.475
13236 / 100000, order of error: 0.471
13697 / 100000, order of error: 0.471
14158 / 100000, order of error: 0.446
14619 / 100000, order of error: 0.426
15081 / 100000, order of error: 0.372
15543 / 100000, order of error: 0.287
16005 / 100000, order of error: 0.187
16468 / 100000, order of error: 0.076
16932 / 100000, order of error: -0.007
17396 / 100000, order of error: -0.072
17858 / 100000, order of error: -0.122
18321 / 100000, order of error: -0.156
18783 / 100000, order of error: -0.194
19246 / 100000, order of error: -0.232
19710 / 100000, order of error: -0.262
20174 / 100000, order of error: -0.290
20638 / 100000, order of error: -0.315
21103 / 100000, order of error: -0.335
21568 / 100000, order of error: -0.360
22033 / 100000, order of error: -0.378
22498 / 100000, order of error: -0.399
22963 / 100000, order of error: -0.415
23428 / 100000, order of error: -0.435
23893 / 100000, order of error: -0.449
24359 / 100000, order of error: -0.465
24824 / 100000, order of error: -0.483
25289 / 100000, order of error: -0.496
25755 / 100000, order of error: -0.511
26220 / 100000, order of error: -0.528
26685 / 100000, order of error: -0.541
27150 / 100000, order of error: -0.557
27616 / 100000, order of error: -0.572
28081 / 100000, order of error: -0.585
28547 / 100000, order of error: -0.599
29012 / 100000, order of error: -0.616
29477 / 100000, order of error: -0.629
29943 / 100000, order of error: -0.644
30408 / 100000, order of error: -0.660
30873 / 100000, order of error: -0.674
31338 / 100000, order of error: -0.690
31803 / 100000, order of error: -0.704
32269 / 100000, order of error: -0.719
32734 / 100000, order of error: -0.734
33199 / 100000, order of error: -0.749
33665 / 100000, order of error: -0.764
34131 / 100000, order of error: -0.778
34597 / 100000, order of error: -0.793
35062 / 100000, order of error: -0.808
35528 / 100000, order of error: -0.822
35994 / 100000, order of error: -0.836
36460 / 100000, order of error: -0.850
36926 / 100000, order of error: -0.864
37393 / 100000, order of error: -0.877
37859 / 100000, order of error: -0.890
38325 / 100000, order of error: -0.903
38791 / 100000, order of error: -0.916
39257 / 100000, order of error: -0.929
39723 / 100000, order of error: -0.941
