
Job Info:
function_dim = 3
i = 2
I = 10
d = 8
K = 2
h = 1.0
tau = 0.001
it_max = 100000
tol = 1e-10
filename = Job_4

581 / 100000, order of error: 0.959
1173 / 100000, order of error: 0.903
1771 / 100000, order of error: 0.896
2370 / 100000, order of error: 0.894
2968 / 100000, order of error: 0.891
3566 / 100000, order of error: 0.888
4162 / 100000, order of error: 0.882
4758 / 100000, order of error: 0.874
5353 / 100000, order of error: 0.861
5948 / 100000, order of error: 0.841
6542 / 100000, order of error: 0.812
7136 / 100000, order of error: 0.776
7730 / 100000, order of error: 0.736
8324 / 100000, order of error: 0.695
8918 / 100000, order of error: 0.713
9513 / 100000, order of error: 0.657
10109 / 100000, order of error: 0.638
10705 / 100000, order of error: 0.609
11301 / 100000, order of error: 0.555
11895 / 100000, order of error: 0.498
12488 / 100000, order of error: 0.478
13079 / 100000, order of error: 0.411
13668 / 100000, order of error: 0.390
14258 / 100000, order of error: 0.323
14849 / 100000, order of error: 0.211
15439 / 100000, order of error: 0.137
16028 / 100000, order of error: 0.102
16617 / 100000, order of error: 0.018
17205 / 100000, order of error: -0.030
17793 / 100000, order of error: -0.076
18381 / 100000, order of error: -0.120
18969 / 100000, order of error: -0.165
19556 / 100000, order of error: -0.190
20144 / 100000, order of error: -0.236
20732 / 100000, order of error: -0.282
21320 / 100000, order of error: -0.326
21908 / 100000, order of error: -0.369
22497 / 100000, order of error: -0.422
23084 / 100000, order of error: -0.447
23672 / 100000, order of error: -0.483
24260 / 100000, order of error: -0.515
24849 / 100000, order of error: -0.552
25437 / 100000, order of error: -0.577
26027 / 100000, order of error: -0.600
26617 / 100000, order of error: -0.619
27206 / 100000, order of error: -0.630
27796 / 100000, order of error: -0.644
28385 / 100000, order of error: -0.663
28975 / 100000, order of error: -0.674
29565 / 100000, order of error: -0.683
30154 / 100000, order of error: -0.685
30743 / 100000, order of error: -0.697
31333 / 100000, order of error: -0.702
31922 / 100000, order of error: -0.701
32511 / 100000, order of error: -0.711
33100 / 100000, order of error: -0.709
33689 / 100000, order of error: -0.717
34278 / 100000, order of error: -0.714
34866 / 100000, order of error: -0.716
35455 / 100000, order of error: -0.724
